,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,4E10:IC50: by study
0,0013095_2_11,2,C,<3mo,CCR5,INDIA,2000.0,EF117267,"0013095.2.11, HIV-0013095.2.11, 0013095, HIV_0013095_2_11, 0013095-2.11, HIV-0013095-2.11",Yes,13095,panel,C.IN.2000.0013095_2_11.EF117267,0.071515,0.001: Zhang2019a;0.009: Bricault2019_dataset2;0.078: Bricault2019;0.078: Chuang2013;0.078: Huang2012a;0.078: Huang2016a_dataset1;0.1: Bricault2019_dataset3;0.1: Montefiori CAVD CA-VIMC;0.104: Williams2017_dataset1;10.1: Corti2010
1,001428_2_42,2,C,<3mo,CCR5,INDIA,2000.0,EF117266,"001428, HIV_001428_2_42, HIV-001428-2.42, 001428-2.42, HIV-001428.2.42",Yes,1428,panel,C.IN.2000.001428_2_42.EF117266,6.71561,1.71: Bricault2019_dataset2;1.8: Corti2010;5.54: Zhang2019a;9.1: Bricault2019;9.1: Chuang2013;9.1: Huang2012a;9.1: Huang2016a_dataset1;10.1: Bricault2019_dataset3;10.1: Hraber2014;10.1: Montefiori CAVD CA-VIMC;10.4: Williams2017_dataset1
2,0041_V3_C18,2,C,<12mo,,TANZANIA,2004.0,HM215253,0041.V3.C18,Yes,41,panel,C.TZ.2004.0041_V3_C18.HM215253,8.1,8.1: Bricault2019_dataset1;8.1: Montefiori CAVD CA-VIMC;8.1: Wagh2016
3,0077_V1_C16,2,C,<12mo,,TANZANIA,2003.0,HM215254,"0077_V1.C16, 0077.V1.C16, 0077",Yes,77,panel,C.TZ.2003.0077_V1_C16.HM215254,2.28582,0.886: Bricault2019;0.886: Chuang2013;0.886: Huang2012a;0.886: Huang2016a_dataset1;1.86: Bricault2019_dataset2;5.67: Williams2017_dataset1;6.4: Bricault2019_dataset1;6.4: Montefiori CAVD CA-VIMC;6.4: Wagh2016
4,00836_2_5,1B or 2,C,<12mo,CCR5,INDIA,2000.0,EF117265,"00836-2.5, HIV_00836_2, 00836-2.5.SG3, HIV-00836-2.5, HIV_00836_2_5, 836",Yes,836,panel,C.IN.2000.00836_2_5.EF117265,1.54752,0.666: Bricault2019_dataset2;1.43: Bricault2019;1.43: Chuang2013;1.43: Huang2012a;1.43: Huang2016a_dataset1;1.8: Montefiori CAVD CA-VIMC;4.24: Williams2017_dataset1
5,0260_V5_C1,2,A1,<12mo,,TANZANIA,2005.0,HM215255,"0260.v5.c1, 0260.5.1",Yes,260,panel,A1.TZ.2005.0260_V5_C1.HM215255,2.07678,0.227: Zhang2019a;19: Montefiori CAVD CA-VIMC
6,0260_V5_C36,,A1,<12mo,,TANZANIA,2005.0,HM215256,"0260.5.36, 0260.v5.c36",Yes,260,panel,A1.TZ.2005.0260_V5_C36.HM215256,24.1227,9.87: Bricault2019_dataset2;19: Bricault2019_dataset3;19.1: Williams2017_dataset1;31.7: Bricault2019;31.7: Chuang2013;31.7: Doria-Rose2014;31.7: Huang2012a;31.7: Huang2016a_dataset1;>50: Montefiori CAVD CA-VIMC
7,0301_BM_A12,,C,,,MALAWI,2008.0,HM070481,0301_bmA12,Yes,715900301,non-panel,C.MW.2008.0301_BM_A12.HM070481,10.1,10.1: Fouda2013
8,0301_BM_A2,,C,,,MALAWI,2008.0,HM070482,0301_bmA2,Yes,715900301,non-panel,C.MW.2008.0301_BM_A2.HM070482,16.9,16.9: Fouda2013
9,0301_BM_A6,,C,,,MALAWI,2008.0,HM070484,0301_bmA6,Yes,715900301,non-panel,C.MW.2008.0301_BM_A6.HM070484,12.2,12.2: Fouda2013
