,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
0,0013095_2_11,2,C,<3mo,CCR5,INDIA,2000.0,EF117267,"HIV-0013095-2.11, 0013095-2.11, HIV-0013095.2.11, HIV_0013095_2_11, 0013095, 0013095.2.11",Yes,13095,panel,C.IN.2000.0013095_2_11.EF117267,0.017826,0.01: Bricault2019_dataset3;0.012: Bricault2019;0.012: Bricault2019_dataset2;0.01200: Doria-Rose2016;0.012: Pancera2013;0.0125: Chuang2019;0.016: Falkowska2014;0.016: Sok2014;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.024: Kong2015_dataset1;0.026: Kong2015_dataset2;0.039: Landais2017_dataset1;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
1,001428_2_42,2,C,<3mo,CCR5,INDIA,2000.0,EF117266,"HIV-001428.2.42, 001428, HIV_001428_2_42, 001428-2.42, HIV-001428-2.42",Yes,1428,panel,C.IN.2000.001428_2_42.EF117266,0.0082374,0.0014: Chuang2019;0.002: Bricault2019;0.002: Bricault2019_dataset2;0.00200: Doria-Rose2016;0.002: Lee2017;0.002: Pancera2013;0.003: Kong2015_dataset2;0.004: Kong2015_dataset1;0.006: Falkowska2014;0.006: Sok2014;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.024: Landais2017_dataset1;0.101: Bricault2019_dataset3;0.101: Hraber2014;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
2,0041_V3_C18,2,C,<12mo,,TANZANIA,2004.0,HM215253,0041.V3.C18,Yes,41,panel,C.TZ.2004.0041_V3_C18.HM215253,0.001,0.001: Bricault2019_dataset1;0.001: Wagh2016
3,0077_V1_C16,2,C,<12mo,,TANZANIA,2003.0,HM215254,"0077_V1.C16, 0077.V1.C16, 0077",Yes,77,panel,C.TZ.2003.0077_V1_C16.HM215254,0.090744,0.083: Bricault2019;0.083: Bricault2019_dataset2;0.08300: Doria-Rose2016;0.083: Pancera2013;0.087: Chuang2019;0.091: Chuang2013;0.091: Doria-Rose2012;0.091: Huang2012a;0.091: Huang2016a_dataset1;0.091: McLellan2011;0.11: Bricault2019_dataset1;0.11: Wagh2016
4,00836_2_5,1B or 2,C,<12mo,CCR5,INDIA,2000.0,EF117265,"HIV_00836_2, 836, HIV_00836_2_5, 00836-2.5, HIV-00836-2.5, 00836-2.5.SG3",Yes,836,panel,C.IN.2000.00836_2_5.EF117265,49,49: Chuang2013;49: Chuang2019;49: Doria-Rose2012;49: Huang2012a;49: Huang2016a_dataset1;49: McLellan2011;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Doria-Rose2016;>50: Pancera2013
5,0260_V5_C36,,A1,<12mo,,TANZANIA,2005.0,HM215256,"0260.5.36, 0260.v5.c36",Yes,260,panel,A1.TZ.2005.0260_V5_C36.HM215256,1.71701,0.525: Andrabi2015;0.716: Kong2015_dataset2;1.1: Kong2015_dataset1;1.12: Bricault2019;1.12: Bricault2019_dataset2;1.12000: Doria-Rose2016;1.12: Pancera2013;1.65: Chuang2019;1.65: Doria-Rose2014;1.693: Bricault2019_dataset3;2.18: Chuang2013;2.18: Doria-Rose2012;2.18: Huang2012a;2.18: Huang2016a_dataset1;2.18: McLellan2011;2.408: Falkowska2014;2.408: vanGils2016;2.41: Sok2014;14: Landais2017_dataset1
6,0301_BM_A12,,C,,,MALAWI,2008.0,HM070481,0301_bmA12,Yes,715900301,non-panel,C.MW.2008.0301_BM_A12.HM070481,0.66,0.66: Fouda2013
7,0301_BM_A2,,C,,,MALAWI,2008.0,HM070482,0301_bmA2,Yes,715900301,non-panel,C.MW.2008.0301_BM_A2.HM070482,0.91,0.91: Fouda2013
8,0301_BM_A6,,C,,,MALAWI,2008.0,HM070484,0301_bmA6,Yes,715900301,non-panel,C.MW.2008.0301_BM_A6.HM070484,0.91,0.91: Fouda2013
9,0330_V4_C3,2,A1,<12mo,,TANZANIA,2005.0,HM215257,0330.v4.c3,Yes,330,panel,A1.TZ.2005.0330_V4_C3.HM215257,0.015813,0.007: Kong2015_dataset1;0.013: Bricault2019;0.013: Bricault2019_dataset2;0.01300: Doria-Rose2016;0.013: Falkowska2014;0.013: Pancera2013;0.013: Sok2014;0.0155: Chuang2019;0.018: Chuang2013;0.018: Doria-Rose2012;0.018: Huang2012a;0.018: Huang2016a_dataset1;0.018: Kong2015_dataset2;0.018: McLellan2011;0.026: Bricault2019_dataset3;0.033: Landais2017_dataset1
