,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
0,0.017826,5.47259,20.0,100.0,100.0,0.2787,0.0034886,100.0,0.089812,0.071515
1,0.0082374,0.024359,0.018439,39.2,100.0,0.010762,0.0033947,100.0,0.019142,6.71561
2,0.001,40.0,2.17917,100.0,100.0,0.1,0.001,100.0,0.36,8.1
3,0.090744,40.0,40.0,0.46236,100.0,40.0,0.0044821,100.0,1.19098,2.28582
4,49.0,100.0,31.8,100.0,100.0,12.1,0.0063048,100.0,0.1644,1.54752
5,1.71701,0.14914,0.042,100.0,29.4,0.18096,0.009316,24.6,0.124,2.07678
6,0.66,0.017265,0.052548,100.0,29.4,0.38,0.0033775,24.6,0.57557,24.1227
7,0.91,100.0,0.04706,50.0,50.0,0.07,14.4258,8.3,16.2,10.1
8,0.91,0.02003,50.0,50.0,50.0,0.39,20.0,10.0,5.37,16.9
9,0.015813,40.0,0.02021,50.0,50.0,0.021833,0.003411,9.8,2.18,12.2
10,0.08,40.0,14.4983,100.0,0.89363,0.05,100.0,13.1128,0.061183,3.94344
11,6.87,0.954,40.0,3.2,9.72,2.46,12.572,16.24,0.4,0.95
12,0.04,20.0,0.26798,50.0,50.0,0.09,3.97995,50.0,14.11,50.0
13,0.58,5.875,20.0,50.0,50.0,0.07,0.12993,50.0,0.51,14.38
14,0.01,20.0,20.0,50.0,50.0,0.08,20.0,50.0,0.07,50.0
15,100.0,0.288,20.0,50.0,50.0,0.16594,1.89138,50.0,0.49,50.0
16,0.83,20.0,1.597,100.0,28.3,0.11,0.396,5.35926,0.1226,7.63407
17,0.38,20.0,20.0,50.0,50.0,50.0,1.707,50.0,0.41,5.6
18,0.18,20.0,20.0,50.0,50.0,0.12,0.034,50.0,50.0,3.6
19,0.37,20.0,20.0,50.0,50.0,50.0,0.006,50.0,2.42,0.33
20,100.0,20.0,20.0,50.0,50.0,0.015391,0.00088891,50.0,50.0,4.75
21,0.0036148,20.0,20.0,100.0,1.4,0.20914,0.057,3.9,0.036157,2.4
22,20.0,0.267,20.0,15.2297,100.0,40.0,0.105,6.80437,0.2,2.47655
23,20.0,20.0,20.0,100.0,100.0,40.0,0.074,2.8,0.27563,4.2
24,0.087,20.0,20.0,3.04533,100.0,0.398,0.018,15.4,0.91,6.82005
25,0.375,0.177,20.0,100.0,100.0,0.177,0.068,100.0,1.49,4.6
26,20.0,0.0017826,1.094,100.0,100.0,0.225,0.075,100.0,0.7170000000000001,23.1
27,1.557,0.010782,0.04,10.03,20.0,1.149,0.162,2.079,0.098,3.355
28,0.112,0.099491,0.09,13.53,20.0,0.608,0.201,7.927,1.517,2.945
