,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0
1,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0
2,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0
3,879.0,879.0,879.0,879.0,879.0,879.0,879.0,879.0,879.0,879.0
4,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
5,868.0,868.0,857.0,857.0,857.0,868.0,868.0,857.0,857.0,857.0
6,861.0,846.0,868.0,868.0,868.0,861.0,846.0,868.0,868.0,868.0
7,855.0,874.0,846.0,861.0,861.0,855.0,874.0,861.0,861.0,861.0
8,860.0,847.0,874.0,855.0,855.0,860.0,847.0,855.0,855.0,855.0
9,846.0,846.0,847.0,860.0,860.0,846.0,846.0,860.0,860.0,860.0
10,858.0,851.0,846.0,846.0,846.0,858.0,851.0,846.0,846.0,846.0
11,858.0,869.0,851.0,858.0,858.0,858.0,869.0,858.0,858.0,858.0
12,858.0,865.0,869.0,858.0,858.0,858.0,849.0,858.0,858.0,858.0
13,858.0,865.0,865.0,858.0,858.0,858.0,866.0,858.0,858.0,858.0
14,859.0,848.0,865.0,858.0,858.0,859.0,853.0,858.0,858.0,858.0
15,874.0,848.0,848.0,859.0,859.0,874.0,861.0,859.0,859.0,859.0
16,844.0,856.0,848.0,874.0,874.0,844.0,856.0,874.0,874.0,874.0
17,844.0,860.0,856.0,844.0,844.0,844.0,855.0,844.0,844.0,844.0
18,844.0,858.0,860.0,844.0,844.0,844.0,855.0,844.0,844.0,844.0
19,848.0,862.0,858.0,844.0,844.0,848.0,867.0,844.0,844.0,844.0
20,847.0,856.0,862.0,848.0,848.0,847.0,861.0,848.0,848.0,848.0
21,846.0,856.0,856.0,863.0,863.0,846.0,861.0,863.0,847.0,863.0
22,851.0,856.0,856.0,847.0,847.0,851.0,848.0,847.0,840.0,847.0
23,869.0,865.0,856.0,840.0,840.0,869.0,848.0,840.0,846.0,840.0
24,865.0,851.0,865.0,846.0,846.0,865.0,649.0,846.0,851.0,846.0
25,848.0,851.0,851.0,851.0,851.0,848.0,848.0,851.0,869.0,851.0
26,856.0,849.0,851.0,869.0,869.0,856.0,856.0,869.0,865.0,869.0
27,860.0,866.0,860.0,860.0,865.0,860.0,848.0,865.0,848.0,865.0
28,858.0,853.0,868.0,868.0,865.0,858.0,861.0,848.0,856.0,848.0
29,862.0,861.0,852.0,852.0,848.0,862.0,848.0,856.0,860.0,856.0
30,856.0,856.0,856.0,856.0,848.0,856.0,859.0,860.0,858.0,860.0
31,865.0,855.0,847.0,847.0,856.0,865.0,849.0,858.0,862.0,858.0
32,851.0,855.0,843.0,843.0,860.0,851.0,849.0,862.0,856.0,862.0
33,860.0,867.0,844.0,844.0,858.0,849.0,860.0,856.0,865.0,856.0
34,868.0,861.0,850.0,850.0,862.0,866.0,849.0,865.0,851.0,865.0
35,852.0,861.0,851.0,851.0,856.0,853.0,858.0,851.0,860.0,851.0
36,856.0,848.0,849.0,849.0,856.0,861.0,873.0,860.0,868.0,860.0
37,847.0,848.0,854.0,854.0,856.0,856.0,851.0,868.0,852.0,868.0
38,843.0,649.0,854.0,854.0,865.0,855.0,851.0,852.0,856.0,852.0
39,844.0,848.0,854.0,854.0,851.0,855.0,853.0,856.0,847.0,856.0
40,850.0,856.0,854.0,854.0,851.0,851.0,837.0,847.0,843.0,847.0
41,851.0,848.0,853.0,853.0,860.0,867.0,846.0,843.0,844.0,843.0
42,849.0,861.0,866.0,866.0,868.0,873.0,859.0,844.0,850.0,844.0
43,854.0,848.0,857.0,857.0,852.0,851.0,840.0,850.0,851.0,850.0
44,854.0,859.0,855.0,855.0,856.0,867.0,855.0,851.0,849.0,851.0
45,854.0,849.0,863.0,863.0,847.0,861.0,839.0,849.0,854.0,849.0
46,854.0,849.0,866.0,866.0,843.0,861.0,880.0,854.0,854.0,854.0
47,853.0,860.0,856.0,856.0,844.0,848.0,854.0,854.0,854.0,854.0
48,866.0,849.0,855.0,855.0,850.0,848.0,861.0,854.0,854.0,854.0
49,857.0,841.0,854.0,854.0,851.0,649.0,860.0,854.0,853.0,854.0
50,855.0,841.0,853.0,872.0,849.0,848.0,848.0,853.0,866.0,853.0
51,863.0,858.0,861.0,863.0,854.0,856.0,845.0,866.0,857.0,866.0
52,866.0,850.0,856.0,853.0,854.0,848.0,850.0,857.0,855.0,857.0
53,856.0,850.0,855.0,861.0,854.0,861.0,852.0,855.0,863.0,855.0
54,855.0,857.0,855.0,856.0,854.0,848.0,858.0,863.0,866.0,863.0
55,854.0,853.0,867.0,861.0,853.0,859.0,862.0,866.0,856.0,866.0
56,853.0,855.0,861.0,855.0,866.0,849.0,865.0,856.0,855.0,856.0
57,861.0,855.0,861.0,856.0,857.0,849.0,859.0,855.0,854.0,855.0
58,856.0,858.0,848.0,855.0,855.0,860.0,859.0,854.0,853.0,854.0
59,855.0,858.0,848.0,855.0,863.0,849.0,865.0,872.0,861.0,872.0
60,855.0,858.0,649.0,851.0,866.0,841.0,861.0,863.0,856.0,863.0
61,851.0,846.0,848.0,867.0,856.0,858.0,861.0,853.0,856.0,853.0
62,867.0,848.0,856.0,873.0,855.0,850.0,862.0,861.0,855.0,861.0
63,873.0,848.0,848.0,851.0,854.0,857.0,859.0,856.0,855.0,856.0
64,851.0,865.0,861.0,867.0,872.0,853.0,862.0,861.0,851.0,861.0
65,867.0,854.0,848.0,861.0,863.0,855.0,862.0,855.0,867.0,855.0
66,861.0,854.0,859.0,858.0,853.0,858.0,862.0,856.0,873.0,856.0
67,841.0,859.0,849.0,841.0,861.0,846.0,862.0,855.0,851.0,855.0
68,858.0,859.0,849.0,873.0,855.0,848.0,862.0,855.0,867.0,855.0
69,850.0,859.0,860.0,851.0,856.0,865.0,862.0,851.0,861.0,851.0
70,857.0,858.0,849.0,851.0,855.0,854.0,862.0,867.0,841.0,867.0
71,853.0,873.0,841.0,853.0,855.0,859.0,862.0,873.0,858.0,873.0
72,855.0,851.0,841.0,846.0,851.0,859.0,862.0,851.0,850.0,851.0
73,855.0,851.0,858.0,859.0,867.0,858.0,862.0,867.0,857.0,867.0
74,855.0,853.0,850.0,851.0,873.0,873.0,862.0,861.0,853.0,861.0
75,855.0,837.0,850.0,855.0,851.0,851.0,856.0,841.0,855.0,841.0
76,858.0,846.0,857.0,839.0,867.0,851.0,862.0,858.0,858.0,858.0
77,846.0,859.0,853.0,880.0,861.0,853.0,858.0,850.0,846.0,850.0
78,848.0,840.0,855.0,860.0,841.0,837.0,856.0,857.0,848.0,857.0
79,848.0,855.0,855.0,863.0,841.0,846.0,856.0,853.0,865.0,853.0
80,865.0,839.0,858.0,848.0,858.0,859.0,856.0,855.0,854.0,855.0
81,854.0,880.0,858.0,856.0,850.0,840.0,856.0,858.0,859.0,858.0
82,859.0,854.0,858.0,845.0,850.0,855.0,858.0,846.0,859.0,846.0
83,859.0,861.0,846.0,850.0,857.0,839.0,856.0,848.0,858.0,848.0
84,858.0,860.0,848.0,852.0,853.0,880.0,869.0,865.0,873.0,865.0
85,873.0,848.0,848.0,858.0,855.0,854.0,855.0,854.0,851.0,854.0
86,851.0,845.0,865.0,859.0,855.0,861.0,869.0,859.0,851.0,859.0
87,851.0,850.0,854.0,868.0,858.0,860.0,869.0,859.0,853.0,859.0
88,853.0,852.0,854.0,840.0,858.0,848.0,868.0,858.0,837.0,858.0
89,846.0,858.0,859.0,872.0,858.0,845.0,853.0,841.0,846.0,841.0
90,859.0,862.0,859.0,882.0,846.0,850.0,868.0,873.0,859.0,873.0
91,839.0,865.0,859.0,843.0,848.0,852.0,869.0,851.0,840.0,851.0
92,860.0,859.0,858.0,868.0,848.0,858.0,869.0,851.0,855.0,851.0
93,848.0,859.0,873.0,867.0,865.0,862.0,869.0,853.0,839.0,853.0
94,845.0,865.0,851.0,860.0,854.0,865.0,869.0,846.0,880.0,846.0
95,850.0,861.0,851.0,848.0,854.0,859.0,869.0,859.0,854.0,859.0
96,852.0,861.0,853.0,887.0,859.0,859.0,869.0,851.0,861.0,851.0
97,858.0,862.0,837.0,859.0,859.0,865.0,864.0,855.0,860.0,855.0
98,859.0,859.0,846.0,855.0,859.0,861.0,860.0,839.0,848.0,839.0
99,868.0,862.0,859.0,864.0,858.0,861.0,859.0,880.0,845.0,880.0
100,840.0,862.0,840.0,856.0,841.0,862.0,859.0,860.0,850.0,860.0
101,872.0,862.0,855.0,865.0,873.0,859.0,862.0,863.0,852.0,863.0
102,882.0,862.0,839.0,854.0,851.0,862.0,868.0,848.0,858.0,848.0
103,843.0,862.0,880.0,847.0,851.0,862.0,859.0,856.0,862.0,856.0
104,868.0,862.0,854.0,863.0,853.0,862.0,863.0,845.0,865.0,845.0
105,867.0,862.0,861.0,875.0,846.0,862.0,863.0,850.0,859.0,850.0
106,860.0,862.0,860.0,846.0,859.0,862.0,858.0,852.0,859.0,852.0
107,848.0,862.0,848.0,854.0,851.0,862.0,861.0,858.0,865.0,858.0
108,887.0,862.0,845.0,853.0,855.0,862.0,869.0,859.0,861.0,859.0
109,859.0,862.0,850.0,833.0,839.0,862.0,862.0,868.0,861.0,868.0
110,856.0,856.0,852.0,856.0,880.0,862.0,867.0,840.0,862.0,840.0
111,865.0,862.0,858.0,858.0,860.0,862.0,871.0,872.0,859.0,872.0
112,854.0,858.0,862.0,856.0,863.0,862.0,872.0,882.0,862.0,882.0
113,847.0,856.0,865.0,861.0,848.0,856.0,872.0,843.0,862.0,843.0
114,863.0,856.0,859.0,853.0,856.0,862.0,869.0,868.0,862.0,868.0
115,875.0,856.0,859.0,849.0,845.0,858.0,871.0,867.0,862.0,867.0
116,846.0,856.0,865.0,860.0,850.0,856.0,873.0,860.0,862.0,860.0
117,854.0,858.0,861.0,852.0,852.0,856.0,868.0,848.0,862.0,848.0
118,853.0,856.0,861.0,841.0,858.0,856.0,858.0,887.0,862.0,887.0
119,833.0,869.0,862.0,853.0,859.0,856.0,853.0,859.0,862.0,859.0
120,858.0,855.0,859.0,855.0,868.0,858.0,855.0,855.0,862.0,855.0
121,856.0,869.0,862.0,855.0,840.0,856.0,859.0,864.0,862.0,864.0
122,861.0,869.0,862.0,856.0,872.0,869.0,858.0,856.0,862.0,856.0
123,853.0,868.0,862.0,846.0,882.0,855.0,855.0,865.0,856.0,865.0
124,849.0,853.0,862.0,876.0,843.0,869.0,857.0,854.0,862.0,854.0
125,860.0,868.0,862.0,846.0,868.0,869.0,857.0,847.0,858.0,847.0
126,852.0,869.0,862.0,851.0,867.0,868.0,859.0,863.0,856.0,863.0
127,841.0,869.0,862.0,857.0,860.0,853.0,857.0,875.0,856.0,875.0
128,853.0,869.0,862.0,844.0,848.0,868.0,840.0,846.0,856.0,846.0
129,855.0,869.0,862.0,849.0,887.0,869.0,837.0,854.0,856.0,854.0
130,855.0,869.0,862.0,858.0,859.0,869.0,840.0,853.0,858.0,853.0
131,856.0,869.0,862.0,862.0,855.0,869.0,837.0,833.0,856.0,833.0
132,846.0,864.0,856.0,854.0,864.0,869.0,854.0,858.0,869.0,858.0
133,876.0,860.0,862.0,848.0,856.0,869.0,851.0,856.0,855.0,856.0
134,846.0,859.0,858.0,837.0,865.0,869.0,852.0,861.0,869.0,861.0
135,844.0,859.0,856.0,855.0,854.0,864.0,862.0,853.0,869.0,853.0
136,849.0,862.0,856.0,848.0,847.0,860.0,852.0,849.0,868.0,849.0
137,858.0,868.0,856.0,857.0,863.0,859.0,862.0,860.0,853.0,860.0
138,854.0,859.0,856.0,846.0,875.0,859.0,852.0,852.0,868.0,852.0
139,848.0,863.0,858.0,846.0,846.0,862.0,862.0,841.0,869.0,841.0
140,837.0,863.0,856.0,846.0,854.0,868.0,862.0,853.0,869.0,853.0
141,855.0,858.0,869.0,855.0,853.0,859.0,852.0,855.0,869.0,855.0
142,848.0,861.0,855.0,848.0,833.0,863.0,863.0,855.0,869.0,855.0
143,857.0,869.0,869.0,861.0,858.0,863.0,866.0,856.0,869.0,856.0
144,846.0,862.0,869.0,856.0,856.0,858.0,863.0,846.0,869.0,846.0
145,855.0,867.0,868.0,856.0,861.0,861.0,864.0,876.0,864.0,876.0
146,848.0,871.0,853.0,857.0,853.0,869.0,864.0,846.0,860.0,846.0
147,861.0,872.0,868.0,855.0,849.0,862.0,864.0,851.0,859.0,851.0
148,857.0,872.0,869.0,848.0,860.0,867.0,863.0,857.0,859.0,857.0
149,857.0,869.0,869.0,848.0,852.0,871.0,864.0,844.0,862.0,844.0
150,878.0,871.0,869.0,873.0,841.0,872.0,866.0,849.0,868.0,849.0
151,873.0,873.0,869.0,872.0,853.0,872.0,868.0,858.0,859.0,858.0
152,882.0,868.0,869.0,873.0,855.0,869.0,864.0,862.0,863.0,862.0
153,882.0,858.0,869.0,854.0,855.0,871.0,850.0,854.0,863.0,854.0
154,848.0,853.0,864.0,868.0,856.0,873.0,851.0,848.0,858.0,848.0
155,873.0,855.0,860.0,862.0,846.0,868.0,850.0,837.0,861.0,837.0
156,872.0,859.0,859.0,847.0,876.0,858.0,849.0,855.0,869.0,855.0
157,873.0,858.0,859.0,838.0,846.0,853.0,850.0,848.0,862.0,848.0
158,854.0,855.0,862.0,856.0,851.0,855.0,850.0,857.0,867.0,857.0
159,868.0,857.0,868.0,861.0,857.0,859.0,851.0,846.0,871.0,846.0
160,865.0,857.0,859.0,859.0,844.0,858.0,850.0,846.0,872.0,846.0
161,865.0,859.0,863.0,858.0,849.0,855.0,848.0,846.0,872.0,855.0
162,879.0,857.0,863.0,857.0,858.0,857.0,852.0,855.0,869.0,848.0
163,875.0,840.0,858.0,842.0,862.0,857.0,859.0,848.0,871.0,861.0
164,875.0,837.0,861.0,861.0,854.0,859.0,856.0,861.0,873.0,856.0
165,891.0,840.0,869.0,855.0,848.0,857.0,852.0,861.0,868.0,856.0
166,885.0,837.0,862.0,849.0,837.0,840.0,854.0,856.0,858.0,857.0
167,865.0,854.0,867.0,877.0,855.0,837.0,852.0,856.0,853.0,855.0
168,897.0,851.0,871.0,851.0,848.0,840.0,852.0,857.0,855.0,848.0
169,862.0,852.0,872.0,852.0,857.0,837.0,859.0,855.0,859.0,848.0
170,847.0,862.0,872.0,847.0,846.0,854.0,855.0,848.0,858.0,873.0
171,838.0,852.0,869.0,854.0,846.0,851.0,858.0,848.0,855.0,872.0
172,856.0,862.0,871.0,862.0,846.0,852.0,854.0,873.0,857.0,873.0
173,861.0,852.0,873.0,867.0,855.0,862.0,854.0,872.0,857.0,854.0
174,859.0,862.0,868.0,849.0,848.0,852.0,851.0,873.0,859.0,868.0
175,858.0,862.0,858.0,847.0,861.0,862.0,858.0,854.0,857.0,862.0
176,857.0,852.0,853.0,854.0,856.0,852.0,859.0,868.0,840.0,847.0
177,842.0,863.0,855.0,861.0,856.0,862.0,868.0,862.0,837.0,838.0
178,861.0,866.0,859.0,864.0,857.0,862.0,840.0,847.0,840.0,856.0
179,855.0,863.0,858.0,862.0,855.0,852.0,872.0,838.0,837.0,861.0
180,849.0,864.0,855.0,848.0,848.0,863.0,882.0,856.0,854.0,859.0
181,877.0,864.0,857.0,866.0,848.0,866.0,843.0,861.0,851.0,858.0
182,851.0,864.0,857.0,847.0,873.0,863.0,868.0,859.0,852.0,857.0
183,852.0,863.0,859.0,872.0,872.0,864.0,867.0,858.0,862.0,842.0
184,847.0,864.0,857.0,856.0,873.0,864.0,860.0,857.0,852.0,861.0
185,854.0,866.0,840.0,856.0,854.0,864.0,848.0,842.0,862.0,855.0
186,867.0,868.0,837.0,856.0,868.0,863.0,887.0,861.0,852.0,849.0
187,849.0,864.0,840.0,856.0,862.0,864.0,859.0,855.0,862.0,877.0
188,847.0,850.0,837.0,856.0,847.0,866.0,855.0,849.0,862.0,851.0
189,854.0,851.0,854.0,861.0,838.0,868.0,856.0,877.0,852.0,852.0
190,861.0,850.0,851.0,854.0,856.0,864.0,865.0,851.0,863.0,847.0
191,864.0,849.0,852.0,859.0,861.0,850.0,854.0,852.0,866.0,854.0
192,862.0,850.0,862.0,843.0,859.0,851.0,847.0,847.0,863.0,862.0
193,872.0,850.0,852.0,857.0,858.0,850.0,863.0,854.0,864.0,867.0
194,856.0,851.0,862.0,843.0,857.0,849.0,875.0,862.0,864.0,849.0
195,856.0,850.0,852.0,867.0,842.0,850.0,846.0,867.0,864.0,847.0
196,856.0,848.0,862.0,850.0,861.0,850.0,854.0,849.0,863.0,854.0
197,856.0,852.0,862.0,869.0,855.0,851.0,853.0,847.0,864.0,861.0
198,856.0,859.0,852.0,862.0,849.0,850.0,833.0,854.0,866.0,864.0
199,861.0,856.0,863.0,865.0,877.0,848.0,849.0,861.0,868.0,862.0
200,854.0,852.0,866.0,844.0,851.0,852.0,847.0,864.0,864.0,848.0
201,859.0,854.0,863.0,861.0,852.0,859.0,846.0,862.0,850.0,847.0
202,843.0,852.0,864.0,856.0,847.0,856.0,846.0,848.0,851.0,872.0
203,843.0,852.0,864.0,864.0,854.0,852.0,852.0,866.0,850.0,856.0
204,867.0,859.0,864.0,855.0,862.0,854.0,852.0,847.0,849.0,856.0
205,850.0,855.0,863.0,853.0,867.0,852.0,852.0,872.0,850.0,856.0
206,869.0,858.0,864.0,838.0,849.0,852.0,852.0,856.0,850.0,856.0
207,862.0,854.0,866.0,860.0,847.0,859.0,852.0,856.0,851.0,856.0
208,865.0,854.0,868.0,860.0,854.0,855.0,852.0,856.0,850.0,861.0
209,844.0,851.0,864.0,846.0,861.0,858.0,852.0,856.0,848.0,854.0
210,861.0,858.0,850.0,866.0,864.0,854.0,852.0,856.0,852.0,859.0
211,856.0,859.0,851.0,878.0,862.0,854.0,852.0,861.0,859.0,843.0
212,864.0,868.0,850.0,847.0,848.0,851.0,858.0,859.0,856.0,857.0
213,855.0,840.0,849.0,871.0,866.0,858.0,856.0,843.0,852.0,843.0
214,853.0,872.0,850.0,855.0,847.0,859.0,860.0,857.0,854.0,867.0
215,838.0,882.0,850.0,872.0,872.0,868.0,860.0,843.0,852.0,850.0
216,860.0,843.0,851.0,858.0,856.0,840.0,860.0,867.0,852.0,869.0
217,846.0,868.0,850.0,860.0,856.0,872.0,860.0,850.0,859.0,862.0
218,866.0,867.0,848.0,855.0,856.0,882.0,862.0,869.0,855.0,865.0
219,878.0,860.0,852.0,855.0,856.0,843.0,862.0,862.0,858.0,844.0
220,847.0,848.0,859.0,855.0,856.0,868.0,857.0,865.0,854.0,861.0
221,855.0,887.0,856.0,858.0,861.0,867.0,858.0,844.0,854.0,856.0
222,872.0,859.0,852.0,866.0,854.0,860.0,860.0,861.0,851.0,864.0
223,858.0,855.0,854.0,868.0,859.0,848.0,860.0,856.0,858.0,855.0
224,860.0,856.0,852.0,865.0,843.0,887.0,855.0,864.0,859.0,853.0
225,855.0,865.0,852.0,856.0,857.0,859.0,860.0,855.0,868.0,838.0
226,855.0,854.0,859.0,830.0,843.0,855.0,855.0,853.0,840.0,860.0
227,866.0,847.0,855.0,838.0,867.0,856.0,862.0,838.0,872.0,860.0
228,868.0,863.0,858.0,841.0,850.0,865.0,857.0,860.0,882.0,846.0
229,856.0,875.0,854.0,865.0,869.0,854.0,860.0,860.0,843.0,866.0
230,838.0,846.0,854.0,856.0,862.0,847.0,861.0,846.0,868.0,878.0
231,841.0,854.0,851.0,848.0,865.0,863.0,853.0,866.0,867.0,847.0
232,865.0,853.0,858.0,846.0,844.0,875.0,849.0,878.0,860.0,871.0
233,856.0,833.0,859.0,847.0,861.0,846.0,860.0,847.0,848.0,855.0
234,853.0,849.0,868.0,853.0,856.0,854.0,852.0,871.0,887.0,872.0
235,847.0,847.0,840.0,847.0,864.0,853.0,841.0,855.0,859.0,858.0
236,843.0,846.0,872.0,847.0,855.0,833.0,853.0,872.0,855.0,860.0
237,852.0,846.0,882.0,843.0,853.0,849.0,855.0,858.0,856.0,860.0
238,856.0,852.0,843.0,852.0,838.0,847.0,855.0,860.0,865.0,866.0
239,851.0,852.0,868.0,856.0,860.0,846.0,856.0,860.0,854.0,866.0
240,864.0,852.0,867.0,856.0,860.0,846.0,846.0,866.0,847.0,860.0
241,864.0,852.0,860.0,851.0,846.0,852.0,876.0,866.0,863.0,855.0
242,862.0,852.0,848.0,864.0,866.0,852.0,846.0,860.0,875.0,855.0
243,863.0,852.0,887.0,864.0,878.0,852.0,844.0,855.0,846.0,855.0
244,872.0,852.0,859.0,862.0,847.0,852.0,849.0,855.0,854.0,858.0
245,860.0,852.0,855.0,863.0,855.0,852.0,858.0,855.0,853.0,866.0
246,843.0,852.0,856.0,872.0,872.0,852.0,854.0,858.0,833.0,868.0
247,851.0,858.0,865.0,872.0,858.0,852.0,848.0,866.0,856.0,865.0
248,851.0,856.0,854.0,860.0,860.0,852.0,837.0,868.0,858.0,856.0
249,857.0,860.0,847.0,843.0,855.0,852.0,855.0,865.0,856.0,830.0
250,857.0,860.0,863.0,851.0,855.0,858.0,848.0,856.0,861.0,838.0
251,860.0,860.0,875.0,851.0,855.0,856.0,852.0,830.0,853.0,841.0
252,842.0,860.0,846.0,844.0,858.0,860.0,852.0,838.0,849.0,865.0
253,846.0,862.0,854.0,857.0,866.0,860.0,852.0,841.0,860.0,856.0
254,856.0,862.0,853.0,857.0,868.0,860.0,851.0,865.0,852.0,848.0
255,861.0,857.0,833.0,860.0,865.0,860.0,851.0,856.0,841.0,846.0
256,853.0,858.0,849.0,842.0,856.0,862.0,851.0,848.0,853.0,853.0
257,845.0,860.0,847.0,846.0,830.0,862.0,851.0,846.0,855.0,847.0
258,862.0,860.0,846.0,860.0,838.0,857.0,851.0,853.0,855.0,847.0
259,865.0,855.0,846.0,860.0,841.0,858.0,851.0,847.0,856.0,843.0
260,812.0,860.0,852.0,856.0,865.0,860.0,851.0,847.0,846.0,852.0
261,854.0,855.0,852.0,861.0,856.0,860.0,851.0,843.0,876.0,856.0
262,846.0,862.0,852.0,853.0,848.0,855.0,857.0,852.0,846.0,856.0
263,854.0,857.0,852.0,845.0,846.0,860.0,842.0,856.0,844.0,851.0
264,846.0,860.0,852.0,862.0,847.0,855.0,843.0,856.0,849.0,864.0
265,861.0,861.0,852.0,878.0,853.0,862.0,843.0,851.0,858.0,864.0
266,860.0,853.0,852.0,853.0,847.0,857.0,846.0,864.0,854.0,862.0
267,854.0,849.0,852.0,863.0,847.0,860.0,843.0,864.0,848.0,863.0
268,832.0,860.0,852.0,851.0,843.0,861.0,847.0,862.0,837.0,872.0
269,847.0,852.0,858.0,865.0,852.0,853.0,847.0,863.0,855.0,872.0
270,863.0,841.0,856.0,812.0,856.0,849.0,847.0,872.0,848.0,860.0
271,850.0,853.0,860.0,854.0,856.0,860.0,844.0,872.0,857.0,843.0
272,841.0,855.0,860.0,846.0,851.0,852.0,844.0,860.0,846.0,851.0
273,850.0,855.0,860.0,854.0,864.0,841.0,844.0,843.0,855.0,851.0
274,852.0,856.0,860.0,854.0,864.0,853.0,844.0,851.0,848.0,844.0
275,840.0,846.0,862.0,846.0,862.0,855.0,844.0,851.0,861.0,857.0
276,853.0,876.0,862.0,844.0,863.0,855.0,847.0,844.0,861.0,857.0
277,839.0,846.0,857.0,861.0,872.0,856.0,846.0,857.0,857.0,860.0
278,858.0,844.0,858.0,860.0,872.0,846.0,855.0,857.0,857.0,842.0
279,858.0,849.0,860.0,854.0,860.0,876.0,848.0,860.0,878.0,846.0
280,827.0,858.0,860.0,832.0,843.0,846.0,861.0,842.0,873.0,860.0
281,796.0,854.0,855.0,847.0,851.0,844.0,857.0,846.0,882.0,860.0
282,849.0,848.0,860.0,863.0,851.0,849.0,857.0,860.0,882.0,856.0
283,854.0,837.0,855.0,850.0,844.0,858.0,878.0,860.0,848.0,861.0
284,808.0,855.0,862.0,850.0,857.0,854.0,873.0,856.0,873.0,853.0
285,842.0,848.0,857.0,852.0,857.0,848.0,882.0,861.0,872.0,845.0
286,846.0,852.0,860.0,840.0,860.0,837.0,882.0,853.0,873.0,862.0
287,868.0,852.0,861.0,853.0,842.0,855.0,848.0,845.0,854.0,878.0
288,849.0,852.0,853.0,839.0,846.0,848.0,865.0,862.0,868.0,853.0
289,850.0,851.0,849.0,858.0,860.0,852.0,865.0,878.0,865.0,863.0
290,832.0,851.0,860.0,796.0,860.0,852.0,879.0,853.0,865.0,865.0
291,846.0,851.0,852.0,854.0,856.0,852.0,875.0,863.0,879.0,812.0
292,850.0,851.0,841.0,808.0,861.0,851.0,875.0,865.0,875.0,854.0
293,860.0,851.0,853.0,842.0,853.0,851.0,891.0,812.0,875.0,846.0
294,841.0,851.0,855.0,868.0,845.0,851.0,885.0,854.0,891.0,854.0
295,852.0,851.0,855.0,850.0,862.0,851.0,865.0,846.0,885.0,846.0
296,860.0,851.0,856.0,832.0,878.0,851.0,897.0,854.0,865.0,844.0
297,854.0,857.0,846.0,846.0,853.0,851.0,862.0,846.0,897.0,861.0
